despBala,velocidadBala,estatusAire,estatuSuelo
-650,-616,1,0
-650,-616,0,1
-630,-616,0,1
-609,-616,0,1
-589,-616,0,1
-568,-616,0,1
-548,-616,0,1
-527,-616,0,1
-507,-616,0,1
-486,-616,0,1
-466,-616,0,1
-445,-616,0,1
-425,-616,0,1
-404,-616,0,1
-384,-616,0,1
-363,-616,0,1
-343,-616,0,1
-322,-616,0,1
-301,-616,0,1
-281,-616,0,1
-260,-616,0,1
-240,-616,0,1
-219,-616,0,1
-199,-616,0,1
-178,-616,1,0
-158,-616,1,0
-137,-616,1,0
-117,-616,1,0
-96,-616,1,0
-76,-616,1,0
-55,-616,1,0
-35,-616,1,0
-14,-616,1,0
7,-616,1,0
27,-616,1,0
48,-616,1,0
50,-616,1,0
-650,-457,1,0
-650,-457,1,0
-635,-457,1,0
-620,-457,1,0
-605,-457,1,0
-590,-457,1,0
-574,-457,1,0
-559,-457,1,0
-544,-457,0,1
-529,-457,0,1
-513,-457,1,0
-498,-457,1,0
-483,-457,1,0
-468,-457,1,0
-452,-457,1,0
-437,-457,1,0
-422,-457,1,0
-407,-457,1,0
-392,-457,1,0
-376,-457,1,0
-361,-457,1,0
-346,-457,1,0
-331,-457,1,0
-315,-457,1,0
-300,-457,1,0
-285,-457,1,0
-270,-457,1,0
-254,-457,1,0
-239,-457,1,0
-224,-457,0,1
-209,-457,1,0
-193,-457,1,0
-178,-457,1,0
-163,-457,1,0
-148,-457,1,0
-133,-457,1,0
-117,-457,1,0
-102,-457,1,0
-87,-457,1,0
-72,-457,1,0
-56,-457,1,0
-41,-457,1,0
-26,-457,1,0
-11,-457,1,0
5,-457,1,0
20,-457,1,0
35,-457,1,0
50,-457,1,0
-650,-381,1,0
-650,-381,1,0
-638,-381,1,0
-625,-381,1,0
-612,-381,0,1
-600,-381,1,0
-587,-381,1,0
-574,-381,1,0
-562,-381,1,0
-549,-381,1,0
-536,-381,1,0
-523,-381,1,0
-511,-381,1,0
-498,-381,1,0
-485,-381,1,0
-473,-381,1,0
-460,-381,1,0
-447,-381,1,0
-435,-381,1,0
-422,-381,1,0
-409,-381,1,0
-396,-381,1,0
-384,-381,1,0
-371,-381,1,0
-358,-381,0,1
-346,-381,0,1
-333,-381,0,1
-320,-381,0,1
-308,-381,0,1
-295,-381,0,1
-282,-381,0,1
-269,-381,0,1
-257,-381,0,1
-244,-381,0,1
-231,-381,0,1
-219,-381,0,1
-206,-381,0,1
-193,-381,0,1
-181,-381,0,1
-168,-381,0,1
-155,-381,0,1
-142,-381,0,1
-130,-381,0,1
-117,-381,0,1
-104,-381,1,0
-92,-381,1,0
-79,-381,1,0
-66,-381,1,0
-54,-381,1,0
-41,-381,1,0
-28,-381,1,0
-15,-381,1,0
-3,-381,1,0
10,-381,1,0
23,-381,1,0
35,-381,1,0
48,-381,1,0
50,-381,1,0
-650,-383,1,0
-650,-383,1,0
-638,-383,1,0
-625,-383,1,0
-612,-383,1,0
-599,-383,1,0
-587,-383,1,0
-574,-383,1,0
-561,-383,0,1
-548,-383,0,1
-536,-383,1,0
-523,-383,1,0
-510,-383,1,0
-497,-383,1,0
-485,-383,1,0
-472,-383,1,0
-459,-383,1,0
-446,-383,1,0
-433,-383,1,0
-421,-383,1,0
-408,-383,1,0
-395,-383,1,0
-382,-383,1,0
-370,-383,1,0
-357,-383,1,0
-344,-383,1,0
-331,-383,1,0
-319,-383,1,0
-306,-383,1,0
-293,-383,0,1
-280,-383,0,1
-268,-383,0,1
-255,-383,0,1
-242,-383,0,1
-229,-383,0,1
-216,-383,0,1
-204,-383,0,1
-191,-383,0,1
-178,-383,0,1
-165,-383,0,1
-153,-383,0,1
-140,-383,0,1
-127,-383,1,0
-114,-383,1,0
-102,-383,1,0
-89,-383,1,0
-76,-383,1,0
-63,-383,1,0
-50,-383,1,0
-38,-383,1,0
-25,-383,1,0
-12,-383,1,0
1,-383,1,0
13,-383,1,0
26,-383,1,0
39,-383,1,0
50,-383,1,0
-650,-590,1,0
-650,-590,1,0
-631,-590,1,0
-611,-590,1,0
-592,-590,1,0
-572,-590,1,0
-552,-590,1,0
-533,-590,0,1
-513,-590,1,0
-493,-590,1,0
-474,-590,1,0
-454,-590,1,0
-434,-590,1,0
-415,-590,1,0
-395,-590,1,0
-375,-590,1,0
-356,-590,1,0
-336,-590,1,0
-316,-590,1,0
-297,-590,1,0
-277,-590,1,0
-257,-590,1,0
-238,-590,1,0
-218,-590,1,0
-198,-590,1,0
-179,-590,1,0
-159,-590,1,0
-139,-590,0,1
-120,-590,1,0
-100,-590,1,0
-80,-590,1,0
-61,-590,1,0
-41,-590,1,0
-21,-590,1,0
-2,-590,1,0
18,-590,1,0
38,-590,1,0
50,-590,1,0
-650,-393,1,0
-650,-393,1,0
-637,-393,1,0
-624,-393,1,0
-611,-393,1,0
-598,-393,1,0
-585,-393,1,0
-572,-393,1,0
-559,-393,1,0
-546,-393,0,1
-533,-393,0,1
-519,-393,1,0
-506,-393,1,0
-493,-393,1,0
-480,-393,1,0
-467,-393,1,0
-454,-393,1,0
-441,-393,1,0
-428,-393,1,0
-415,-393,1,0
-402,-393,1,0
-388,-393,1,0
-375,-393,1,0
-362,-393,1,0
-349,-393,1,0
-336,-393,1,0
-323,-393,1,0
-310,-393,1,0
-297,-393,1,0
-284,-393,1,0
-271,-393,0,1
-257,-393,0,1
-244,-393,0,1
-231,-393,0,1
-218,-393,0,1
-205,-393,0,1
-192,-393,1,0
-179,-393,1,0
-166,-393,1,0
-153,-393,1,0
-140,-393,1,0
-126,-393,1,0
-113,-393,1,0
-100,-393,1,0
-87,-393,1,0
-74,-393,1,0
-61,-393,1,0
-48,-393,1,0
-35,-393,1,0
-22,-393,1,0
-9,-393,1,0
5,-393,1,0
18,-393,1,0
31,-393,1,0
44,-393,1,0
50,-393,0,1
-650,-550,0,1
-650,-550,1,0
-632,-550,1,0
-614,-550,1,0
-595,-550,1,0
-577,-550,1,0
-559,-550,1,0
-540,-550,1,0
-522,-550,1,0
-504,-550,1,0
-485,-550,1,0
-467,-550,1,0
-449,-550,1,0
-430,-550,1,0
-412,-550,1,0
-394,-550,1,0
-375,-550,1,0
-357,-550,1,0
-339,-550,1,0
-320,-550,1,0
-302,-550,0,1
-284,-550,0,1
-265,-550,0,1
-247,-550,0,1
-229,-550,0,1
-210,-550,0,1
-192,-550,0,1
-174,-550,1,0
-155,-550,1,0
-137,-550,1,0
-119,-550,1,0
-100,-550,1,0
-82,-550,1,0
-64,-550,1,0
-45,-550,1,0
-27,-550,1,0
-9,-550,1,0
10,-550,1,0
28,-550,1,0
46,-550,1,0
50,-550,1,0
-650,-707,1,0
-650,-707,1,0
-627,-707,1,0
-603,-707,1,0
-580,-707,1,0
-556,-707,1,0
-533,-707,1,0
-509,-707,1,0
-486,-707,0,1
-462,-707,1,0
-438,-707,1,0
-415,-707,1,0
-391,-707,1,0
-368,-707,1,0
-344,-707,1,0
-321,-707,1,0
-297,-707,1,0
-273,-707,1,0
-250,-707,1,0
-226,-707,1,0
-203,-707,1,0
-179,-707,1,0
-156,-707,1,0
-132,-707,1,0
-108,-707,1,0
-85,-707,1,0
-61,-707,1,0
